Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Forex,EUR/USD,EURUSD=X,421,416,5,547,551,4
Forex,USD/JPY,JPY=X,244,243,1,487,487,0
Forex,GBP/USD,GBPUSD=X,422,426,4,228,220,8
Forex,USD/CHF,CHF=X,191,189,2,395,403,8
Forex,USD/CAD,CAD=X,426,426,0,222,220,2
Forex,AUD/USD,AUDUSD=X,441,439,2,194,196,2
Forex,NZD/USD,NZDUSD=X,195,196,1,421,416,5
Forex,EUR/GBP,EURGBP=X,251,250,1,423,426,3
Forex,EUR/JPY,EURJPY=X,248,250,2,203,202,1
Forex,GBP/JPY,GBPJPY=X,249,250,1,499,493,6
